node_1,node_2
13,72
13,249
13,314
13,404
13,455
13,517
13,707
13,714
13,727
13,730
13,731
13,801
13,823
13,1025
13,1183
13,1191
13,1707
13,2086
13,2821
13,3010
13,3222
13,14127
13,26949
13,27359
13,36782
13,59746
15,47
15,78
15,349
15,455
15,617
15,730
15,811
15,958
15,1042
15,1244
15,3222
15,4386
15,4422
15,5424
15,5825
15,6428
15,6656
15,6660
15,6663
15,6668
15,6670
15,6671
15,6688
15,6690
15,6692
15,6694
15,6695
15,6699
15,6704
15,6705
15,6708
15,6711
15,27456
15,59204
24,1768
40,154
40,170
40,204
40,210
40,306
40,404
40,455
40,794
40,1024
40,1309
40,3169
40,6300
40,7304
40,7673
40,7675
40,7676
40,7680
40,7682
40,7683
40,7685
40,7686
40,7688
40,7690
40,7694
40,7695
40,7701
40,7806
40,12939
40,27977
43,195
43,210
43,276
43,773
43,823
43,1588
43,1625
43,4936
43,7800
43,8214
43,16431
43,17293
43,18851
43,18865
43,18879
43,18887
43,18888
43,18912
43,32498
43,33713
43,150809
47,72
47,165
47,195
47,452
47,455
47,470
47,813
47,881
47,886
47,932
47,1025
47,1172
47,1274
47,1975
47,2059
47,2821
47,3305
47,3428
47,3547
47,4492
47,4703
47,5094
47,5341
47,5738
47,6102
47,8455
47,9517
47,10527
47,10540
47,11332
47,11609
47,16061
47,17581
47,20056
47,21684
47,21700
47,21704
47,21716
47,27359
47,28752
47,33565
47,37055
47,42977
47,220755
47,239291
47,312449
47,345263
47,559645
47,655934
47,662197
52,78
52,104
52,210
52,404
52,470
52,528
52,538
52,707
52,727
52,773
52,810
52,811
52,813
52,834
52,875
52,886
52,890
52,922
52,1042
52,1070
52,1455
52,1491
52,1934
52,2050
52,2059
52,3166
52,3169
52,3173
52,3178
52,3179
52,3180
52,3182
52,3188
52,3194
52,3199
52,3200
52,3209
52,3216
52,3219
52,3220
52,3222
52,3231
52,3234
52,7814
64,14093
64,17679
68,83
68,455
68,740
68,760
68,773
68,5038
68,7851
68,9735
68,24021
68,44522
68,231919
68,656374
72,156
72,195
72,197
72,249
72,376
72,404
72,481
72,530
72,727
72,731
72,773
72,811
72,866
72,890
72,1021
72,1024
72,1025
72,1042
72,1070
72,1125
72,1272
72,1613
72,1916
72,1922
72,1923
72,1934
72,1936
72,1938
72,1944
72,1945
72,1948
72,1952
