node_1,node_2,node_3
96189,202290,327683
13,707,2821
15,455,27456
15,455,3222
13025,20721,229397
6474,13025,229397
20027,20721,229397
40,170,1024
40,1024,7690
40,1024,7673
40,1024,7683
40,7673,7683
1024,7673,7683
40,1024,7701
40,1024,7685
40,7673,7701
40,7673,7685
40,7685,7701
1024,7673,7701
1024,7673,7685
1024,7685,7701
7673,7685,7701
40,7682,7701
40,7688,7701
40,7673,7695
40,1309,7701
43,210,773
15921,163884,167516
163884,167516,462985
47,813,886
47,72,195
47,72,5341
47,1025,5738
52,1491,3222
68,455,773
68,455,1999
68,773,1999
455,773,1999
72,1922,15874
72,1959,15874
72,1070,6663
72,1025,2057
72,890,2057
72,13738,47644
72,773,2098
72,13738,206904
72,2119,5550
72,2845,82505
72,773,1613
72,1613,2135
72,2033,2135
72,2135,44989
72,1125,62273
72,1125,1945
72,3222,3686
72,530,31340
72,62745,100496
72,1957,100496
72,481,3222
72,1021,3222
72,3222,9110
72,9110,21661
72,1024,63171
72,2845,125129
72,1959,26331
72,5341,9735
72,1999,5341
72,20328,21214
72,5550,170216
72,1945,20721
72,195,20721
72,197,6899
72,2845,23804
72,1923,62745
72,88014,278302
72,1959,101232
72,773,651129
72,1934,651129
72,773,1934
773,1934,651129
72,1999,651129
72,773,1999
773,1999,651129
72,1936,13738
72,1936,9110
72,404,18177
72,404,866
72,866,18177
404,866,18177
72,404,1922
72,404,773
72,773,1922
404,773,1922
72,404,1938
72,404,3428
72,866,1938
72,1938,3428
72,866,3428
404,866,1938
404,1938,3428
404,866,3428
866,1938,3428
72,404,13738
72,404,11274
72,11274,13738
404,11274,13738
72,404,1999
72,773,13738
72,1999,13738
404,773,13738
404,1999,13738
404,773,1999
773,1999,13738
72,404,22999
72,13738,22999
404,13738,22999
72,404,811
72,404,1954
72,811,1954
404,811,1954
72,404,9110
72,404,1959
72,811,9110
72,811,1959
72,773,811
72,1959,9110
72,773,9110
72,773,1959
404,811,9110
404,811,1959
404,773,811
404,1959,9110
404,773,9110
404,773,1959
811,1959,9110
773,811,9110
773,811,1959
773,1959,9110
72,404,1970
72,1970,1999
404,1970,1999
72,404,21183
72,866,21183
404,866,21183
72,404,2117
72,404,2090
72,2090,2117
404,2090,2117
72,404,22728
72,773,22728
404,773,22728
72,404,2123
72,2123,9110
404,2123,9110
72,404,8269
72,404,22989
72,11274,22989
404,11274,22989
72,773,22989
72,1959,22989
404,773,22989
404,1959,22989
773,1959,22989
72,404,23250
72,773,23250
404,773,23250
72,404,23140
72,9110,23140
404,9110,23140
72,404,23157
72,773,23157
404,773,23157
72,197,7575
72,727,1945
72,249,1952
72,5038,88014
72,13738,62383
72,773,166978
72,1070,1974
72,1959,1974
72,1024,1974
72,1070,1959
72,1024,1070
72,1024,1959
